log_type,messages
SUCCESS,Global database loaded
SUCCESS,Started the requests logger (logging options requests is enabled)
INFO,CORE: Starting application: dash
SUCCESS,CORE: Initialized application: dash
INFO,CORE: Starting application: settings
SUCCESS,CORE: Initialized application: settings
INFO,CORE: Starting application: store
SUCCESS,CORE: Initialized application: store
INFO,CORE: Starting application: files
SUCCESS,CORE: Initialized application: files
INFO,CORE: Starting application: weather
SUCCESS,CORE: Initialized application: weather
INFO,CORE: -------------------- server now listening on port 3560! --------------------
INFO, GET  200 /core/login/is-authenticated
INFO, GET  200 /core/panel/user-full-name
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/panel/applications
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /core/panel/position
INFO, GET  200 /core/user_db
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/login/is-authenticated
INFO, GET  200 /core/panel/logo/small
INFO, GET  200 /core/panel/user-full-name
INFO, GET  200 /core/panel/applications
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/panel/position
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/user_db
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /app/weather/geolocation/o
INFO, GET  200 /app/weather/geolocation/ol
INFO, GET  200 /app/weather/geolocation/old
INFO, GET  200 /app/weather/geolocation/oldh
INFO, GET  200 /app/weather/geolocation/oldha
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldhamd
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /app/weather/geolocation/oldhams
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldhams
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /app/weather/geolocation/oldhams
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /core/login/is-authenticated
INFO, GET  200 /core/panel/user-full-name
INFO, GET  200 /core/panel/applications
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/panel/position
INFO, GET  200 /core/panel/logo/small
INFO, GET  200 /core/panel/quick-shortcuts
INFO, GET  200 /core/user_db
INFO, GET  200 /app/weather/previous/locations
INFO, GET  200 /app/weather/geolocation/o
INFO, GET  200 /app/weather/geolocation/ol
INFO, GET  200 /app/weather/geolocation/old
INFO, GET  200 /app/weather/geolocation/oldh
INFO, GET  200 /app/weather/geolocation/oldha
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldha
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldha
INFO, GET  200 /app/weather/geolocation/oldhad
INFO, GET  200 /app/weather/geolocation/oldha
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldhamf
INFO, GET  200 /app/weather/geolocation/oldham
INFO, GET  200 /app/weather/geolocation/oldhams
INFO, GET  200 /app/weather/geolocation/oldham
INFO,Shutting down... (restart of core should occur automatically)